
time 03h 41m 40s, episodes 25109, frames 18.1M, mean epr 211.81, run loss 47.79
time 03h 42m 40s, episodes 25219, frames 18.2M, mean epr 212.68, run loss 50.44
time 03h 43m 40s, episodes 25328, frames 18.3M, mean epr 231.22, run loss 55.91
time 03h 44m 40s, episodes 25437, frames 18.4M, mean epr 237.92, run loss 57.73
time 03h 45m 40s, episodes 25549, frames 18.4M, mean epr 232.31, run loss 54.11
time 03h 46m 40s, episodes 25662, frames 18.5M, mean epr 225.95, run loss 48.99
time 03h 47m 40s, episodes 25772, frames 18.6M, mean epr 214.20, run loss 50.78
time 03h 48m 40s, episodes 25882, frames 18.7M, mean epr 227.56, run loss 54.49
time 03h 49m 40s, episodes 25994, frames 18.8M, mean epr 229.91, run loss 50.64
time 03h 50m 40s, episodes 26106, frames 18.9M, mean epr 233.99, run loss 52.52
time 03h 51m 40s, episodes 26214, frames 18.9M, mean epr 231.76, run loss 51.60
time 03h 52m 41s, episodes 26328, frames 19.0M, mean epr 224.69, run loss 50.64
time 03h 54m 10s, episodes 26496, frames 19.1M, mean epr 227.15, run loss 55.02
time 03h 55m 10s, episodes 26605, frames 19.2M, mean epr 222.66, run loss 48.52
time 03h 56m 10s, episodes 26714, frames 19.3M, mean epr 226.43, run loss 58.34
time 03h 57m 10s, episodes 26827, frames 19.4M, mean epr 217.99, run loss 49.05
time 03h 58m 10s, episodes 26943, frames 19.5M, mean epr 220.60, run loss 51.36
time 03h 59m 10s, episodes 27049, frames 19.6M, mean epr 234.53, run loss 51.94
time 04h 00m 10s, episodes 27161, frames 19.6M, mean epr 233.40, run loss 47.86
time 04h 01m 10s, episodes 27271, frames 19.7M, mean epr 236.21, run loss 50.46
time 04h 02m 10s, episodes 27379, frames 19.8M, mean epr 242.71, run loss 51.90
time 04h 03m 10s, episodes 27485, frames 19.9M, mean epr 243.82, run loss 53.72
time 04h 04m 10s, episodes 27600, frames 20.0M, mean epr 217.12, run loss 52.31

	20M frames: saved model

time 04h 05m 10s, episodes 27714, frames 20.1M, mean epr 219.14, run loss 48.31
time 04h 06m 10s, episodes 27825, frames 20.1M, mean epr 235.01, run loss 50.35
time 04h 07m 10s, episodes 27931, frames 20.2M, mean epr 236.62, run loss 53.95
time 04h 08m 10s, episodes 28040, frames 20.3M, mean epr 244.13, run loss 55.15
time 04h 09m 10s, episodes 28145, frames 20.4M, mean epr 238.16, run loss 50.20
time 04h 10m 10s, episodes 28262, frames 20.5M, mean epr 220.68, run loss 46.96
time 04h 11m 10s, episodes 28376, frames 20.6M, mean epr 234.58, run loss 48.56
time 04h 12m 10s, episodes 28483, frames 20.6M, mean epr 240.76, run loss 52.06
time 04h 13m 10s, episodes 28600, frames 20.7M, mean epr 225.06, run loss 45.34
time 04h 14m 31s, episodes 28747, frames 20.8M, mean epr 221.75, run loss 53.22
time 04h 15m 31s, episodes 28857, frames 20.9M, mean epr 234.01, run loss 50.69
time 04h 16m 31s, episodes 28962, frames 21.0M, mean epr 250.02, run loss 52.74
time 04h 17m 31s, episodes 29076, frames 21.1M, mean epr 238.69, run loss 44.60
time 04h 18m 31s, episodes 29192, frames 21.2M, mean epr 237.97, run loss 44.83
time 04h 19m 31s, episodes 29298, frames 21.3M, mean epr 234.22, run loss 45.81
time 04h 20m 31s, episodes 29408, frames 21.3M, mean epr 234.87, run loss 54.36
time 04h 21m 31s, episodes 29514, frames 21.4M, mean epr 241.26, run loss 59.21
time 04h 22m 31s, episodes 29619, frames 21.5M, mean epr 240.20, run loss 58.66
time 04h 23m 31s, episodes 29728, frames 21.6M, mean epr 237.67, run loss 59.68
time 04h 24m 32s, episodes 29842, frames 21.7M, mean epr 228.62, run loss 51.37
time 04h 25m 32s, episodes 29949, frames 21.8M, mean epr 242.07, run loss 52.97
time 04h 26m 32s, episodes 30061, frames 21.8M, mean epr 254.09, run loss 50.93
time 04h 27m 33s, episodes 30175, frames 21.9M, mean epr 242.60, run loss 51.36

	22M frames: saved model

time 04h 28m 33s, episodes 30283, frames 22.0M, mean epr 253.72, run loss 52.18
time 04h 29m 33s, episodes 30390, frames 22.1M, mean epr 240.71, run loss 56.14
time 04h 30m 33s, episodes 30502, frames 22.2M, mean epr 240.38, run loss 51.90
time 04h 31m 33s, episodes 30618, frames 22.3M, mean epr 236.35, run loss 50.04
time 04h 32m 33s, episodes 30727, frames 22.3M, mean epr 239.72, run loss 53.67
time 04h 33m 33s, episodes 30836, frames 22.4M, mean epr 269.42, run loss 50.91
time 04h 34m 33s, episodes 30945, frames 22.5M, mean epr 257.79, run loss 53.40
time 04h 35m 33s, episodes 31053, frames 22.6M, mean epr 263.47, run loss 49.70
time 04h 36m 33s, episodes 31163, frames 22.7M, mean epr 251.98, run loss 53.54
time 04h 37m 33s, episodes 31273, frames 22.8M, mean epr 253.02, run loss 50.82
time 04h 38m 33s, episodes 31385, frames 22.8M, mean epr 252.24, run loss 48.35
time 04h 39m 33s, episodes 31492, frames 22.9M, mean epr 248.86, run loss 49.54
time 04h 40m 35s, episodes 31610, frames 23.0M, mean epr 255.27, run loss 55.86
time 04h 41m 35s, episodes 31714, frames 23.1M, mean epr 271.35, run loss 58.41
time 04h 42m 35s, episodes 31822, frames 23.2M, mean epr 266.42, run loss 64.94
time 04h 43m 35s, episodes 31928, frames 23.3M, mean epr 267.05, run loss 57.71
time 04h 44m 35s, episodes 32033, frames 23.3M, mean epr 265.89, run loss 54.77
time 04h 45m 35s, episodes 32138, frames 23.4M, mean epr 286.18, run loss 63.19
time 04h 46m 35s, episodes 32247, frames 23.5M, mean epr 280.77, run loss 60.48
time 04h 47m 36s, episodes 32357, frames 23.6M, mean epr 264.84, run loss 54.62
time 04h 48m 36s, episodes 32460, frames 23.7M, mean epr 265.00, run loss 60.20
time 04h 49m 36s, episodes 32574, frames 23.8M, mean epr 260.65, run loss 53.96
time 04h 50m 36s, episodes 32682, frames 23.8M, mean epr 220.01, run loss 54.31
time 04h 51m 36s, episodes 32793, frames 23.9M, mean epr 231.44, run loss 54.25

	24M frames: saved model

time 04h 52m 36s, episodes 32906, frames 24.0M, mean epr 248.89, run loss 51.97
time 04h 53m 36s, episodes 33008, frames 24.1M, mean epr 261.09, run loss 52.43
time 04h 54m 36s, episodes 33119, frames 24.2M, mean epr 258.40, run loss 51.52
time 04h 55m 36s, episodes 33229, frames 24.3M, mean epr 249.07, run loss 54.46
time 04h 56m 36s, episodes 33336, frames 24.3M, mean epr 263.83, run loss 56.46
time 04h 57m 36s, episodes 33448, frames 24.4M, mean epr 249.39, run loss 52.30
time 04h 58m 36s, episodes 33558, frames 24.5M, mean epr 252.37, run loss 56.46
time 04h 59m 36s, episodes 33669, frames 24.6M, mean epr 256.67, run loss 54.22
time 05h 00m 36s, episodes 33771, frames 24.7M, mean epr 276.82, run loss 59.99
time 05h 01m 36s, episodes 33878, frames 24.7M, mean epr 272.59, run loss 57.55
time 05h 02m 36s, episodes 33984, frames 24.8M, mean epr 268.66, run loss 56.55
time 05h 03m 36s, episodes 34087, frames 24.9M, mean epr 276.34, run loss 58.31
time 05h 04m 36s, episodes 34200, frames 25.0M, mean epr 248.03, run loss 54.89
time 05h 05m 38s, episodes 34308, frames 25.1M, mean epr 267.56, run loss 56.45
time 05h 06m 38s, episodes 34417, frames 25.2M, mean epr 272.72, run loss 61.77
time 05h 07m 38s, episodes 34525, frames 25.2M, mean epr 273.55, run loss 53.48
time 05h 08m 38s, episodes 34630, frames 25.3M, mean epr 274.40, run loss 53.19
time 05h 09m 38s, episodes 34740, frames 25.4M, mean epr 271.51, run loss 53.21
time 05h 10m 38s, episodes 34848, frames 25.5M, mean epr 276.00, run loss 50.67
time 05h 11m 38s, episodes 34959, frames 25.6M, mean epr 281.83, run loss 45.58
time 05h 12m 38s, episodes 35065, frames 25.7M, mean epr 268.26, run loss 47.29
time 05h 13m 38s, episodes 35176, frames 25.7M, mean epr 262.98, run loss 49.16
time 05h 14m 38s, episodes 35285, frames 25.8M, mean epr 263.20, run loss 50.48
time 05h 15m 38s, episodes 35390, frames 25.9M, mean epr 277.57, run loss 55.90
time 05h 16m 38s, episodes 35498, frames 26.0M, mean epr 281.27, run loss 54.90

	26M frames: saved model

time 05h 17m 38s, episodes 35609, frames 26.1M, mean epr 268.83, run loss 56.91
time 05h 18m 55s, episodes 35748, frames 26.2M, mean epr 275.26, run loss 51.71
time 05h 19m 55s, episodes 35861, frames 26.3M, mean epr 262.23, run loss 45.75
time 05h 20m 55s, episodes 35968, frames 26.4M, mean epr 277.38, run loss 50.54
time 05h 21m 55s, episodes 36076, frames 26.4M, mean epr 267.43, run loss 51.01
time 05h 22m 55s, episodes 36185, frames 26.5M, mean epr 275.96, run loss 45.57
time 05h 23m 55s, episodes 36291, frames 26.6M, mean epr 280.72, run loss 52.04
time 05h 24m 55s, episodes 36399, frames 26.7M, mean epr 290.19, run loss 56.69
time 05h 25m 56s, episodes 36509, frames 26.8M, mean epr 274.15, run loss 53.72
time 05h 26m 56s, episodes 36618, frames 26.9M, mean epr 271.52, run loss 48.19
time 05h 27m 56s, episodes 36721, frames 26.9M, mean epr 291.92, run loss 55.23
time 05h 28m 56s, episodes 36830, frames 27.0M, mean epr 288.63, run loss 49.08
time 05h 29m 56s, episodes 36933, frames 27.1M, mean epr 290.62, run loss 53.11
time 05h 30m 56s, episodes 37044, frames 27.2M, mean epr 272.34, run loss 47.47
time 05h 31m 58s, episodes 37152, frames 27.3M, mean epr 297.68, run loss 52.55
time 05h 32m 58s, episodes 37259, frames 27.4M, mean epr 299.72, run loss 53.72
time 05h 33m 58s, episodes 37366, frames 27.4M, mean epr 289.66, run loss 44.14
time 05h 34m 58s, episodes 37471, frames 27.5M, mean epr 270.08, run loss 45.45
time 05h 35m 58s, episodes 37578, frames 27.6M, mean epr 276.09, run loss 50.45
time 05h 36m 58s, episodes 37680, frames 27.7M, mean epr 290.54, run loss 54.54
time 05h 37m 58s, episodes 37789, frames 27.8M, mean epr 262.67, run loss 52.69
time 05h 38m 58s, episodes 37895, frames 27.9M, mean epr 272.58, run loss 49.92
time 05h 39m 58s, episodes 38003, frames 27.9M, mean epr 287.26, run loss 53.69

	28M frames: saved model

time 05h 40m 58s, episodes 38115, frames 28.0M, mean epr 276.52, run loss 50.76
