
time 02h 00m 38s, episodes 76455, frames 2.4M, mean epr 1.57, run loss 181.34, shares of one box (0.91), two boxes (0.66) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 01m 38s, episodes 77119, frames 2.4M, mean epr 1.67, run loss 179.53, shares of one box (0.91), two boxes (0.66) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 02m 38s, episodes 77774, frames 2.4M, mean epr 1.71, run loss 181.43, shares of one box (0.91), two boxes (0.66) and three boxes(0.30) pushed on target, difficulty: 4.0
time 02h 03m 39s, episodes 78416, frames 2.5M, mean epr 1.69, run loss 177.87, shares of one box (0.92), two boxes (0.67) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 04m 39s, episodes 79014, frames 2.5M, mean epr 1.75, run loss 191.20, shares of one box (0.92), two boxes (0.66) and three boxes(0.30) pushed on target, difficulty: 4.0
time 02h 05m 39s, episodes 79629, frames 2.5M, mean epr 1.68, run loss 188.37, shares of one box (0.91), two boxes (0.66) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 06m 39s, episodes 80243, frames 2.5M, mean epr 1.63, run loss 185.87, shares of one box (0.91), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 07m 39s, episodes 80859, frames 2.5M, mean epr 1.63, run loss 178.28, shares of one box (0.91), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 08m 39s, episodes 81488, frames 2.5M, mean epr 1.76, run loss 179.98, shares of one box (0.91), two boxes (0.65) and three boxes(0.30) pushed on target, difficulty: 4.0
time 02h 09m 39s, episodes 82093, frames 2.6M, mean epr 1.42, run loss 167.94, shares of one box (0.90), two boxes (0.64) and three boxes(0.27) pushed on target, difficulty: 4.0
time 02h 10m 40s, episodes 82712, frames 2.6M, mean epr 1.53, run loss 186.28, shares of one box (0.90), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 11m 41s, episodes 83338, frames 2.6M, mean epr 1.57, run loss 191.53, shares of one box (0.91), two boxes (0.64) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 12m 41s, episodes 83963, frames 2.6M, mean epr 1.61, run loss 200.28, shares of one box (0.92), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 13m 41s, episodes 84614, frames 2.6M, mean epr 1.58, run loss 187.31, shares of one box (0.91), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 14m 41s, episodes 85265, frames 2.7M, mean epr 1.44, run loss 180.31, shares of one box (0.91), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 15m 41s, episodes 85907, frames 2.7M, mean epr 1.27, run loss 178.02, shares of one box (0.91), two boxes (0.63) and three boxes(0.26) pushed on target, difficulty: 4.0
time 02h 16m 42s, episodes 86573, frames 2.7M, mean epr 1.40, run loss 186.89, shares of one box (0.91), two boxes (0.64) and three boxes(0.27) pushed on target, difficulty: 4.0
