
time 04h 58m 54s, episodes 154535, frames 23.0M, mean epr -14.54, run loss 27.43
time 04h 59m 54s, episodes 155046, frames 23.1M, mean epr -14.53, run loss 29.47
time 05h 00m 54s, episodes 155565, frames 23.2M, mean epr -14.27, run loss 36.77
time 05h 01m 54s, episodes 156089, frames 23.3M, mean epr -14.48, run loss 61.21
time 05h 02m 55s, episodes 156606, frames 23.3M, mean epr -14.69, run loss 44.39
time 05h 03m 55s, episodes 157121, frames 23.4M, mean epr -14.63, run loss 56.51
time 05h 04m 55s, episodes 157639, frames 23.5M, mean epr -14.33, run loss 53.90
time 05h 05m 55s, episodes 158158, frames 23.6M, mean epr -14.56, run loss 56.91
time 05h 06m 55s, episodes 158673, frames 23.7M, mean epr -14.56, run loss 50.80
time 05h 07m 55s, episodes 159193, frames 23.7M, mean epr -14.64, run loss 43.90
time 05h 08m 55s, episodes 159709, frames 23.8M, mean epr -14.45, run loss 33.37
time 05h 09m 55s, episodes 160219, frames 23.9M, mean epr -14.44, run loss 34.54
time 05h 10m 55s, episodes 160737, frames 24.0M, mean epr -14.47, run loss 28.34

	24M frames: saved model

time 00h 01m 00s, episodes 556, frames 24.1M, mean epr -14.52, run loss 389.02
time 00h 02m 00s, episodes 1085, frames 24.2M, mean epr -14.37, run loss 320.85
time 00h 03m 00s, episodes 1607, frames 24.2M, mean epr -14.35, run loss 280.45
time 00h 04m 00s, episodes 2127, frames 24.3M, mean epr -14.55, run loss 251.72
time 00h 05m 01s, episodes 2657, frames 24.4M, mean epr -14.29, run loss 218.16
time 00h 06m 01s, episodes 3190, frames 24.5M, mean epr -14.54, run loss 181.07
time 00h 07m 01s, episodes 3717, frames 24.6M, mean epr -14.48, run loss 162.13
time 00h 08m 05s, episodes 4272, frames 24.6M, mean epr -14.63, run loss 119.06
time 00h 09m 05s, episodes 4799, frames 24.7M, mean epr -14.60, run loss 102.37
time 00h 10m 05s, episodes 5336, frames 24.8M, mean epr -14.58, run loss 120.98
time 00h 11m 06s, episodes 5861, frames 24.9M, mean epr -14.43, run loss 105.52
time 00h 12m 06s, episodes 6383, frames 25.0M, mean epr -14.59, run loss 114.89
