
time 02h 33m 01s, episodes 11228, frames 0.3M, mean epr 1.50, run loss 258.90, shares of one box (0.92), two boxes (0.66) and three boxes(0.28) pushed on target, difficulty: 4.0
time 02h 34m 01s, episodes 11310, frames 0.4M, mean epr 2.11, run loss 303.67, shares of one box (0.91), two boxes (0.67) and three boxes(0.33) pushed on target, difficulty: 4.0
time 02h 35m 01s, episodes 11390, frames 0.4M, mean epr 1.69, run loss 299.30, shares of one box (0.90), two boxes (0.63) and three boxes(0.30) pushed on target, difficulty: 4.0
time 02h 36m 06s, episodes 11476, frames 0.4M, mean epr 1.82, run loss 287.81, shares of one box (0.90), two boxes (0.67) and three boxes(0.31) pushed on target, difficulty: 4.0
time 02h 37m 06s, episodes 11560, frames 0.4M, mean epr 2.17, run loss 331.38, shares of one box (0.91), two boxes (0.64) and three boxes(0.33) pushed on target, difficulty: 4.0
time 02h 38m 09s, episodes 11644, frames 0.4M, mean epr 2.01, run loss 298.14, shares of one box (0.92), two boxes (0.65) and three boxes(0.32) pushed on target, difficulty: 4.0
time 02h 39m 10s, episodes 11729, frames 0.4M, mean epr 2.06, run loss 273.50, shares of one box (0.91), two boxes (0.68) and three boxes(0.32) pushed on target, difficulty: 4.0
time 02h 40m 14s, episodes 11817, frames 0.4M, mean epr 1.72, run loss 266.65, shares of one box (0.92), two boxes (0.67) and three boxes(0.29) pushed on target, difficulty: 4.0
time 02h 41m 15s, episodes 11899, frames 0.4M, mean epr 1.82, run loss 264.32, shares of one box (0.91), two boxes (0.65) and three boxes(0.30) pushed on target, difficulty: 4.0
time 02h 42m 15s, episodes 11982, frames 0.4M, mean epr 1.85, run loss 276.34, shares of one box (0.93), two boxes (0.65) and three boxes(0.30) pushed on target, difficulty: 4.0
time 02h 43m 19s, episodes 12063, frames 0.4M, mean epr 1.46, run loss 266.74, shares of one box (0.95), two boxes (0.67) and three boxes(0.27) pushed on target, difficulty: 4.0
time 02h 44m 20s, episodes 12142, frames 0.4M, mean epr 0.91, run loss 217.74, shares of one box (0.92), two boxes (0.62) and three boxes(0.24) pushed on target, difficulty: 4.0
